Gaokao2023-Math-En pass@8: 0.6961 (268/385)
minervamath pass@8: 0.4596 (125/272)
MATH-500 pass@8: 0.7540 (377/500)
gsm8k pass@8: 0.9340 (1232/1319)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 mean: 0.6364 (245/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 min: 0.6364 (245/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 max: 0.5558 (214/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 product: 0.6416 (247/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 geom_mean: 0.6390 (246/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.5948 (229/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 min: 0.5844 (225/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 max: 0.5792 (223/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 product: 0.5948 (229/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.5948 (229/385)
minervamath Qwen2.5-Math-PRM-7B@8 mean: 0.3750 (102/272)
minervamath Qwen2.5-Math-PRM-7B@8 min: 0.3750 (102/272)
minervamath Qwen2.5-Math-PRM-7B@8 max: 0.3015 (82/272)
minervamath Qwen2.5-Math-PRM-7B@8 product: 0.3897 (106/272)
minervamath Qwen2.5-Math-PRM-7B@8 geom_mean: 0.3787 (103/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.3640 (99/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 min: 0.3346 (91/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 max: 0.3125 (85/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 product: 0.3566 (97/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.3640 (99/272)
MATH-500 Qwen2.5-Math-PRM-7B@8 mean: 0.7040 (352/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 min: 0.7080 (354/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 max: 0.6320 (316/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 product: 0.7080 (354/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 geom_mean: 0.7100 (355/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.6520 (326/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 min: 0.6420 (321/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 max: 0.6580 (329/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 product: 0.6580 (329/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.6500 (325/500)
gsm8k Qwen2.5-Math-PRM-7B@8 mean: 0.9083 (1198/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 min: 0.9060 (1195/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 max: 0.8211 (1083/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 product: 0.9083 (1198/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 geom_mean: 0.9090 (1199/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.8939 (1179/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 min: 0.8734 (1152/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 max: 0.8832 (1165/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 product: 0.8863 (1169/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.8931 (1178/1319)
