Gaokao2023-Math-En pass@8: 0.6883 (265/385)
minervamath pass@8: 0.3860 (105/272)
MATH-500 pass@8: 0.7360 (368/500)
gsm8k pass@8: 0.8560 (1129/1319)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 mean: 0.6883 (265/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 min: 0.6883 (265/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 max: 0.6883 (265/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 product: 0.6883 (265/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 geom_mean: 0.6883 (265/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.6883 (265/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 min: 0.6883 (265/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 max: 0.6883 (265/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 product: 0.6883 (265/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.6883 (265/385)
minervamath Qwen2.5-Math-PRM-7B@8 mean: 0.3860 (105/272)
minervamath Qwen2.5-Math-PRM-7B@8 min: 0.3860 (105/272)
minervamath Qwen2.5-Math-PRM-7B@8 max: 0.3860 (105/272)
minervamath Qwen2.5-Math-PRM-7B@8 product: 0.3860 (105/272)
minervamath Qwen2.5-Math-PRM-7B@8 geom_mean: 0.3860 (105/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.3860 (105/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 min: 0.3860 (105/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 max: 0.3860 (105/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 product: 0.3860 (105/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.3860 (105/272)
MATH-500 Qwen2.5-Math-PRM-7B@8 mean: 0.7360 (368/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 min: 0.7360 (368/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 max: 0.7360 (368/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 product: 0.7360 (368/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 geom_mean: 0.7360 (368/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.7360 (368/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 min: 0.7360 (368/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 max: 0.7360 (368/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 product: 0.7360 (368/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.7360 (368/500)
gsm8k Qwen2.5-Math-PRM-7B@8 mean: 0.8560 (1129/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 min: 0.8560 (1129/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 max: 0.8560 (1129/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 product: 0.8560 (1129/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 geom_mean: 0.8560 (1129/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.8560 (1129/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 min: 0.8560 (1129/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 max: 0.8560 (1129/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 product: 0.8560 (1129/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.8560 (1129/1319)
