Gaokao2023-Math-En pass@8: 0.7221 (278/385)
minervamath pass@8: 0.4338 (118/272)
MATH-500 pass@8: 0.8360 (418/500)
gsm8k pass@8: 0.9568 (1262/1319)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 mean: 0.7221 (278/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 min: 0.7221 (278/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 max: 0.7221 (278/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 product: 0.7221 (278/385)
Gaokao2023-Math-En Qwen2.5-Math-PRM-7B@8 geom_mean: 0.7221 (278/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.7221 (278/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 min: 0.7221 (278/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 max: 0.7221 (278/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 product: 0.7221 (278/385)
Gaokao2023-Math-En Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.7221 (278/385)
minervamath Qwen2.5-Math-PRM-7B@8 mean: 0.4338 (118/272)
minervamath Qwen2.5-Math-PRM-7B@8 min: 0.4338 (118/272)
minervamath Qwen2.5-Math-PRM-7B@8 max: 0.4338 (118/272)
minervamath Qwen2.5-Math-PRM-7B@8 product: 0.4338 (118/272)
minervamath Qwen2.5-Math-PRM-7B@8 geom_mean: 0.4338 (118/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.4338 (118/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 min: 0.4338 (118/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 max: 0.4338 (118/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 product: 0.4338 (118/272)
minervamath Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.4338 (118/272)
MATH-500 Qwen2.5-Math-PRM-7B@8 mean: 0.8360 (418/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 min: 0.8360 (418/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 max: 0.8360 (418/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 product: 0.8360 (418/500)
MATH-500 Qwen2.5-Math-PRM-7B@8 geom_mean: 0.8360 (418/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.8360 (418/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 min: 0.8360 (418/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 max: 0.8360 (418/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 product: 0.8360 (418/500)
MATH-500 Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.8360 (418/500)
gsm8k Qwen2.5-Math-PRM-7B@8 mean: 0.9568 (1262/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 min: 0.9568 (1262/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 max: 0.9568 (1262/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 product: 0.9568 (1262/1319)
gsm8k Qwen2.5-Math-PRM-7B@8 geom_mean: 0.9568 (1262/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 mean: 0.9568 (1262/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 min: 0.9568 (1262/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 max: 0.9568 (1262/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 product: 0.9568 (1262/1319)
gsm8k Llama3.1-8B-PRM-Mistral-Data@8 geom_mean: 0.9568 (1262/1319)
